city,country,latitude,longitude,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2026-07-27T15:41:52+00:00,1,186.38,0,1.37,54.2,0.54,9.54,12.59,1.84
Antananarivo,MG,-18.8792,47.5079,2026-07-27T17:36:58+00:00,2,257.14,0,2.26,44.34,0.63,13.17,17.68,2.47
Antananarivo,MG,-18.8792,47.5079,2026-07-27T19:15:08+00:00,2,283.91,0,2.54,40.25,0.69,14.68,19.83,2.78
Beijing,CN,39.9042,116.4074,2026-07-27T15:41:52+00:00,4,450.38,0.02,17.68,21.11,6.56,67.7,73.81,21.35
Beijing,CN,39.9042,116.4074,2026-07-27T17:36:59+00:00,4,446.93,0.1,15.56,10.67,5.76,73,77.75,25.59
Beijing,CN,39.9042,116.4074,2026-07-27T19:15:08+00:00,4,443.75,0.22,14.38,7.09,5.41,74.78,78.6,25.8
Nairobi,KE,-1.2921,36.8219,2026-07-27T15:41:52+00:00,1,110.11,0,0.28,59.98,0.11,4.19,5.48,0.31
Nairobi,KE,-1.2921,36.8219,2026-07-27T17:36:58+00:00,2,114.99,0,0.32,61.4,0.11,4.46,5.97,0.33
Nairobi,KE,-1.2921,36.8219,2026-07-27T19:15:08+00:00,2,117.64,0,0.38,61.13,0.12,4.61,6.24,0.35
New Delhi,IN,28.6139,77.209,2026-07-27T15:41:52+00:00,2,410.09,0,17.97,43.58,2.45,22.99,32.76,12.47
New Delhi,IN,28.6139,77.209,2026-07-27T17:36:59+00:00,2,403.88,0,14.67,43.17,2.13,24.2,32.98,9
New Delhi,IN,28.6139,77.209,2026-07-27T19:15:09+00:00,2,376.68,0,11.4,48.8,1.88,24.18,31.41,7.08
Paris,FR,48.8566,2.3522,2026-07-27T15:41:52+00:00,2,105.78,0.12,0.58,80.44,0.38,2.19,3.68,1.89
Paris,FR,48.8566,2.3522,2026-07-27T17:32:11+00:00,2,105.84,0.08,0.74,81.7,0.39,2.28,3.79,2.17
Paris,FR,48.8566,2.3522,2026-07-27T19:15:08+00:00,2,106.81,0.05,1.34,75.68,0.39,2.34,3.89,3.05
